2023-09-28 at 22:16:38 | INFO: 0x5f833A67b5fbd01fbaA1e7B44ddDD22bc19B314A: 401 not-eligible
2023-09-28 at 22:16:43 | INFO: 0xB697230E4b26d92c9a3d330854a68c9aB993A143: 401 not-eligible
2023-09-28 at 22:16:48 | INFO: 0x438E8052da84dE47293E332fDBb054831fbb6ca9: 401 not-eligible
2023-09-28 at 22:16:57 | INFO: 0x03d051B8704987D5474334be63336996af4ed2be: 200 eligible
2023-09-28 at 22:17:07 | INFO: 0xEec3bB512BaAd708150c778aCBdBAdfF05E5cF34: 401 not-eligible
2023-09-28 at 22:17:17 | INFO: 0x1e9142d3bA95423FD29DfE834fC5186e9228B9B6: 401 not-eligible
2023-09-28 at 22:17:26 | INFO: 0x5443D5899A1DDB6A3dc6EBa55643B4F78eA917CC: 401 not-eligible
2023-09-28 at 22:17:36 | INFO: 0x0c69Ee2d9a159227EBe5725636Faa55EEfCD86f6: 401 not-eligible
2023-09-28 at 22:17:46 | INFO: 0x0E4F7EcBC0371A40a3f479c8baf87f6fAbdbcE8c: 401 not-eligible
2023-09-28 at 22:19:53 | INFO: 0xe4E17663d23f608FC08dCAE772031BbF70Ae4812: 401 not-eligible
2023-09-28 at 22:19:58 | INFO: 0xf29406B37Ea81c2941d8166E48F73E8104d8847b: 401 not-eligible
2023-09-28 at 22:20:03 | INFO: 0xFAc1A90D9522bCbC2F2B7D633ac9F59703B0D973: 401 not-eligible
2023-09-28 at 22:20:21 | ERROR: Connection timed out
2023-09-28 at 22:20:55 | ERROR: Connection timed out
2023-09-28 at 22:22:49 | INFO: Starting bot
2023-09-28 at 22:23:46 | INFO: Starting bot
2023-09-28 at 22:26:24 | INFO: Starting bot
2023-09-28 at 22:27:33 | INFO: Stopping bot
2023-09-28 at 22:28:32 | INFO: Starting bot
2023-10-03 at 18:18:20 | INFO: Starting bot
2023-10-03 at 18:18:36 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:40 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:43 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:46 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:50 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:53 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:56 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:18:59 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:02 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:05 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:08 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:11 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:14 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:17 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:21 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:24 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:27 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:30 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:34 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:37 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:41 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:44 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
